Time,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
12:00 AM,0%,0%,0%,0%,0%,0%,0%
02:00 AM,0%,0%,0%,0%,0%,0%,0%
04:00 AM,0%,0%,0%,0%,0%,0%,0%
06:00 AM,0%,0%,0%,0%,0%,0%,0%
08:00 AM,0%,11%,11%,10%,9%,0%,0%
10:00 AM,2%,28%,28%,27%,26%,10%,2%
12:00 PM,7%,41%,42%,41%,39%,38%,18%
02:00 PM,13%,40%,43%,44%,40%,44%,46%
04:00 PM,31%,38%,43%,45%,41%,46%,50%
06:00 PM,38%,59%,67%,66%,61%,67%,54%
08:00 PM,35%,51%,59%,60%,56%,63%,54%
10:00 PM,15%,13%,16%,17%,15%,21%,22%
