Time,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
12:00 AM,0%,0%,0%,0%,0%,0%,0%
02:00 AM,0%,0%,0%,0%,0%,0%,0%
04:00 AM,0%,0%,0%,0%,0%,0%,0%
06:00 AM,0%,0%,0%,0%,0%,0%,0%
08:00 AM,0%,12%,12%,12%,11%,0%,2%
10:00 AM,2%,32%,32%,31%,29%,27%,10%
12:00 PM,7%,39%,39%,39%,36%,34%,19%
02:00 PM,12%,35%,37%,38%,36%,34%,27%
04:00 PM,19%,36%,39%,39%,41%,37%,42%
06:00 PM,35%,50%,54%,55%,51%,55%,47%
08:00 PM,38%,60%,64%,65%,61%,65%,53%
10:00 PM,36%,52%,56%,58%,56%,59%,51%
